recordId,museumId,userId,pointId,arriveTime,leaveTime,staySeconds,totalSeconds ,interactionCount,interactionType,notes
A_B_202503292304_0000_001,A,0,1-2,2025-03-29T23:04:26.690+08:00,2025-03-29T23:04:28.308+08:00,1,,0,觀看影片,
A_B_202503292304_0000_000,A,0,1-3,2025-03-29T23:04:23.557+08:00,2025-03-29T23:04:25.591+08:00,2,,0,觀看告示牌,
A_B_202503292304_0000_003,A,0,3-1,2025-03-29T23:04:47.859+08:00,2025-03-29T23:04:50.270+08:00,2,,0,觀看展品,
A_B_202503292330_0000_000,A,0,1-2,2025-03-29T23:30:24.465+08:00,2025-03-29T23:30:26.235+08:00,1,,0,觀看模型,
A_B_202503292330_0000_000,A,0,1-2,2025-03-29T23:30:24.465+08:00,2025-03-29T23:30:26.235+08:00,1,,0,觀看模型,
A_B_202503292340_0000_001,A,0,1-2,2025-03-29T23:40:44.806+08:00,2025-03-29T23:40:46.417+08:00,1,,0,觀看告示牌,
A_B_202503292344_0000_000,A,0,1-1,2025-03-29T23:43:33.268+08:00,2025-03-29T23:44:03.252+08:00,29,,0,"觀看模型, 聆聽導覽",fewfewafewef
A_B_202503292348_0000_002,A,0,2-3,2025-03-29T23:48:16.167+08:00,2025-03-29T23:48:17.233+08:00,1,,0,錄影,
A_B_202503292348_0000_001,A,0,1-1,2025-03-29T23:48:14.142+08:00,2025-03-29T23:48:15.204+08:00,1,,0,錄影,
A_B_202503292348_0000_000,A,0,1-2,2025-03-29T23:47:58.828+08:00,2025-03-29T23:48:02.224+08:00,3,,0,觀看告示牌,
A_B_202503292348_0000_003,A,0,2-2,2025-03-29T23:48:17.901+08:00,2025-03-29T23:48:18.867+08:00,0,,0,筆記,
A_B_202503292348_0000_002,A,0,2-3,2025-03-29T23:48:16.167+08:00,2025-03-29T23:48:17.233+08:00,1,,0,錄影,
A_B_202503292348_0000_001,A,0,1-1,2025-03-29T23:48:14.142+08:00,2025-03-29T23:48:15.204+08:00,1,,0,錄影,
A_B_202503292348_0000_000,A,0,1-2,2025-03-29T23:47:58.828+08:00,2025-03-29T23:48:02.224+08:00,3,,0,觀看告示牌,
A_B_202503292348_0000_003,A,0,2-2,2025-03-29T23:48:17.901+08:00,2025-03-29T23:48:18.867+08:00,0,,0,筆記,
A_B_202503292348_0000_002,A,0,2-3,2025-03-29T23:48:16.167+08:00,2025-03-29T23:48:17.233+08:00,1,,0,錄影,
A_B_202503292348_0000_001,A,0,1-1,2025-03-29T23:48:14.142+08:00,2025-03-29T23:48:15.204+08:00,1,,0,錄影,
A_B_202503292348_0000_000,A,0,1-2,2025-03-29T23:47:58.828+08:00,2025-03-29T23:48:02.224+08:00,3,,0,觀看告示牌,
A_B_202503292348_0000_003,A,0,2-2,2025-03-29T23:48:17.901+08:00,2025-03-29T23:48:18.867+08:00,0,,0,筆記,
A_B_202503292350_0000_000,A,0,3-1,2025-03-29T23:50:43.469+08:00,2025-03-29T23:50:46.331+08:00,2,,0,觀看展品,
